id_mgs	ERS848618	ERS848619	ERS848620	ERS848621	ERS848622	ERS848623	ERS848624	ERS848625	ERS848626	ERS848627	ERS848628	ERS848629	ERS848630	ERS848631	ERS848632	ERS848633	ERS848634	ERS848635	ERS848636	ERS848637	ERS848638	ERS848639	ERS848640	ERS848641	ERS848642	ERS848643	ERS848644	ERS848645	ERS848646	ERS848647	ERS848648	ERS848649	ERS848650	ERS848651	ERS848652	ERS848653	ERS848654	ERS848655	ERS848656	ERS848657	ERS848658	ERS848659	ERS848660	ERS848661	ERS848662	ERS848663	ERS848664	ERS848665	ERS848666	ERS848667	ERS848668	ERS848669	ERS848670	ERS848671	ERS848672	ERS848673	ERS848674	ERS848675	ERS848676	ERS848677	ERS848678	ERS848679	ERS848680	ERS848681	ERS848682	ERS848683	ERS848684	ERS848685	ERS848686	ERS848687	ERS848688	ERS848689	ERS848690	ERS848691	ERS848692	ERS848693	ERS848694	ERS848695	ERS848696	ERS848697	ERS848698	ERS848699	ERS848700	ERS848701	ERS848702	ERS848703	ERS848704	ERS848705	ERS848706	ERS848707	ERS848708	ERS848709	ERS848710	ERS848711	ERS848712	ERS848713	ERS848714	ERS848715	ERS848716	ERS848717	ERS848718	ERS848719	ERS848720	ERS848721	ERS848722	ERS848723	ERS848724	ERS848725	ERS848726	ERS848727	ERS848728	ERS848729	ERS848730	ERS848731	ERS848732	ERS848733	ERS848734	ERS848735	ERS848736	ERS848737	ERS848738	ERS848739	ERS848740	ERS848741	ERS848742	ERS848743	ERS848744	ERS848745
"msp_0001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37648268510717e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94400621369155e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.74509852972421e-08	1.60721938439052e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80468958996067e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0003"	1.5287233000123e-07	3.71014508104735e-07	2.91199089987279e-09	3.81538626034906e-07	1.48126897291383e-07	0	0	1.6521865519356e-09	1.37771947844641e-06	1.92517896611404e-07	1.71755304472905e-09	1.07796897407361e-07	9.34711706163208e-07	4.15174195684421e-09	1.56415453296075e-08	3.44281538036361e-08	0	1.53193485311964e-06	2.14852266270486e-09	1.55682416767811e-09	2.81760457512799e-09	1.96032249098747e-09	8.72514723659588e-07	1.73350642403615e-09	6.05726540235275e-07	1.97105475544097e-06	3.32064868844055e-07	6.49609063899799e-07	0	2.40028624783855e-07	2.46719223489455e-08	8.3074283287227e-07	0	2.86006401285522e-06	0	3.82734160876213e-07	9.53568457078056e-08	3.92531984288421e-07	3.00731882479042e-07	0	8.9363059089013e-09	0	2.98840493749793e-08	4.92652468477198e-09	1.80883139722039e-08	1.94051999042178e-07	2.6256494216671e-07	2.1957665326886e-07	1.48111516710689e-08	0	3.95011735625992e-08	8.94920828694241e-08	0	7.5770094900071e-10	1.36403582518138e-07	1.18306640808713e-06	3.13372839958965e-06	3.31588719065365e-07	1.42502891439734e-08	2.15492729803263e-07	1.55823555621493e-06	2.46650475821943e-07	6.97899123628014e-07	2.13710830795516e-07	7.62607941211631e-08	1.91072709953308e-06	0	1.75950406699538e-09	6.04222969784633e-07	3.20352092108019e-07	2.65218639577824e-06	3.25926767594703e-08	8.17568919984408e-08	2.48255621972705e-08	2.11458435108211e-06	0	1.85181736406546e-07	1.02000702979585e-07	3.88379585920048e-09	5.04142295303932e-07	1.78457068867957e-06	2.15434497743076e-07	2.05209245365393e-07	1.41788305262527e-06	9.08487175807848e-07	0	3.09300222616393e-08	6.77095259106097e-07	3.47527064259825e-07	5.75046506495787e-07	1.47599784673339e-07	1.10688512981282e-06	3.93871183029712e-08	7.5587822518706e-07	0	0	7.73561429431595e-07	1.10911246484837e-06	0	2.07199335197253e-09	2.78454368731013e-09	5.89522105603356e-07	0	1.15000801880805e-07	9.18372896655121e-08	1.35290275710735e-06	3.67183108766747e-07	7.21075613849667e-09	5.46821680827075e-09	1.79554075085342e-08	2.40022641578938e-07	9.48706621325322e-09	5.07646972698759e-06	4.55996972756381e-07	3.57126658294733e-06	6.24760382491542e-07	3.28187517590922e-08	2.92778675588837e-06	6.78517649720062e-09	1.7316227333099e-07	3.33817623046015e-07	4.93885617475775e-08	1.90787372449312e-09	1.04310705447422e-07	1.22748803502016e-07	4.7900137902434e-07	1.04371646420503e-07	8.90256301108851e-08
"msp_0004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0005"	2.05019853188814e-05	2.22883886916015e-07	7.23337636271617e-07	1.17145864935353e-06	2.42809012883026e-07	2.69846651169351e-06	2.19235791735265e-05	1.0372459374348e-06	5.87268135470748e-05	1.0439613473211e-05	4.81769323761073e-08	2.23462226191582e-07	4.64823820636514e-06	9.22094097211658e-07	4.15012419322381e-07	2.30578629739013e-07	1.16059398444936e-05	3.75511404315909e-05	1.83632383905502e-06	4.97341124283337e-06	6.80301884068246e-07	4.62834702180438e-07	4.54704213030293e-07	0.000120831063033062	1.03938527756097e-06	1.49953966139523e-06	6.04117431621103e-07	1.32426880356209e-06	1.01597227450134e-05	3.10106364619107e-07	1.84141287861854e-06	1.41498592338791e-06	4.35911870868628e-07	2.17770898337774e-08	2.26942064572282e-06	9.01994847277821e-07	7.09440213694648e-08	3.94595507202609e-07	4.81649264928067e-07	5.45132890467766e-06	1.93443698826484e-08	7.44444028669231e-08	8.03524037231479e-07	1.97701393268595e-08	7.10711118769964e-07	2.04952356515714e-07	6.90093706205131e-07	1.86086832100938e-06	2.15478193020102e-07	7.98623237332064e-05	3.41922133166537e-08	2.27766434641632e-06	1.330373984645e-05	1.55337691764012e-06	5.19097623393181e-06	7.02529634384637e-07	2.34289173546527e-06	5.50411351374444e-05	2.60194024144855e-07	5.51471877953734e-07	7.37245954105167e-06	2.73228096452392e-06	5.08295497603609e-05	6.11018698013376e-06	1.84452312954643e-08	3.36572196144628e-07	7.70188209550662e-07	1.0255623901736e-06	7.9028409163929e-07	2.9800040494855e-07	2.84050283226744e-06	2.02365804563344e-07	2.85785372606443e-06	7.05197363915011e-07	1.33128309623349e-06	1.19015549131354e-07	7.585769578505e-07	1.64234416471687e-07	1.61648674926725e-06	5.72632368543312e-05	1.24681221775267e-06	1.26117252000918e-08	2.79180970147626e-07	2.04318643158494e-09	9.52250847754747e-08	8.50009645231103e-09	9.05621493502334e-05	3.40200637782353e-07	4.14194217090047e-07	6.76461593054348e-09	3.92730177246502e-08	1.88790950424912e-08	1.46987116399562e-07	1.01184016028117e-05	4.10103443951424e-05	6.33035812134654e-08	9.64735811643391e-06	7.54596762715898e-07	2.80592600806905e-07	1.63050159948746e-05	1.10208371556639e-07	2.16094123021626e-06	1.61923066218847e-08	2.30884635738853e-09	1.10163191014712e-06	1.36740074996358e-08	1.00475898349608e-07	4.61385080958487e-08	5.94314311724153e-07	1.61299885628196e-07	1.08133995209393e-07	4.97591788528436e-08	1.11014668795345e-08	4.70391771828828e-06	1.19282544316153e-06	2.13675193840634e-07	1.00774888637199e-06	1.17152687339148e-08	3.02066685853037e-07	4.80409573505301e-06	8.95967765938719e-06	1.29899372635033e-07	7.56610422983149e-05	6.81449588874071e-08	4.11825791454108e-06	1.97461134655957e-07	1.46814886968249e-07	5.49384332467799e-05
"msp_0006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86013449112797e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0007"	4.71449786116901e-08	4.56480195681622e-06	1.24703200371043e-07	3.88182398574033e-08	5.6963748857056e-07	0	8.79399739162588e-07	1.30092150243678e-08	1.56359249422744e-06	1.30509477089393e-07	1.10819461967456e-05	1.85677870060823e-07	1.4167056251228e-06	1.0566564655839e-06	2.84869862971199e-06	6.1655830874087e-07	9.53383939908024e-09	2.68530666638845e-06	2.05870425898269e-06	9.74033995311337e-07	1.10534961947188e-06	8.12853146295719e-09	2.98012526254166e-06	1.93184422974706e-08	2.21108543200494e-06	1.51601566026296e-05	2.08117540938898e-07	9.40404952258416e-07	4.41250817743728e-08	5.33477591738831e-06	1.10695748832868e-07	1.39827690477341e-06	3.49446107840844e-08	7.11746346433768e-06	2.10272555155929e-07	3.50769336639193e-08	4.66495773251025e-08	5.71215232415567e-08	8.90596172090677e-08	7.41901759608815e-07	3.21662267775527e-08	3.01518418298736e-06	1.43631792687925e-06	8.25269058171574e-07	1.81314564171892e-07	2.03557731948136e-08	1.86552087778442e-06	5.02224397192379e-08	3.61305577142729e-06	3.70217100610535e-09	2.77640435083879e-08	2.78500399696478e-06	0	1.34346238400717e-06	4.1442922121798e-08	2.63164057889859e-06	2.18114188778965e-06	1.31622237659367e-06	2.20605787018233e-07	4.11182582034055e-06	1.86541300054754e-06	2.82682700771902e-07	3.03808969709865e-07	1.90132149631134e-07	5.16895136859551e-08	5.3304309744184e-06	2.00527705028441e-06	4.92889550044374e-08	1.47683290998907e-06	4.16602979161436e-07	3.90197096168057e-07	7.82001434246024e-08	3.86990104448679e-07	8.25528119764231e-07	6.77136585031346e-07	2.38379143969291e-06	1.27194909038859e-07	8.67529280355524e-07	6.274718373614e-07	1.15529343333348e-06	1.28694056503638e-06	2.57082601701003e-06	8.39221247812176e-07	5.69726987030523e-08	6.48188464002046e-06	2.51072814074988e-06	2.70610859774598e-08	4.19613465301612e-07	4.49973041992731e-07	8.04559610974463e-08	8.7054464633605e-08	7.05358908426375e-07	6.81616210336108e-07	2.07983009436349e-06	1.65080858571819e-08	3.22053103501126e-06	8.00669081683102e-08	6.29034788884078e-08	1.16085275317802e-06	1.16099961709992e-08	3.20211592613692e-06	2.31443885462049e-06	1.57574242543867e-08	1.45498723761835e-07	9.75765739771864e-06	1.4765190156543e-06	6.4743119983524e-07	3.59832769912819e-08	2.12718613750305e-06	2.91908234075041e-07	5.34597020596981e-08	4.7235904226526e-08	1.3751443759204e-06	2.78962670099991e-07	1.61087123574922e-06	1.63853153979859e-08	2.03623683448059e-07	4.36887455380103e-06	2.79491551306044e-07	2.35275050786245e-06	4.46727429892046e-06	4.21832243294693e-07	3.73457180625964e-09	3.32253559617083e-08	6.28818293137659e-09	8.22819925778265e-08	4.65715356708374e-07	1.32228800534952e-08
"msp_0008"	7.64396711712229e-08	6.75977078913977e-09	1.97955279640594e-08	9.05295479137228e-10	5.51856104689017e-07	2.48827917229312e-09	2.70227900973333e-08	4.42930121698366e-09	3.22523139504113e-08	1.95182946638735e-06	4.26205217949879e-09	3.02358365681356e-08	1.01238289774638e-06	3.50503711413213e-09	3.35903724117098e-08	0	0	0	4.37595939867589e-09	0	2.46243766430135e-09	0	3.89714912083296e-06	3.9007621881832e-09	6.76050398945988e-06	0	1.96873008228271e-09	4.67684575557887e-07	1.32841180202105e-09	1.15233716242726e-06	3.21387756261053e-08	1.00399049266451e-08	0	2.91440573358143e-08	0	1.25660274223863e-09	0	5.85507841151416e-07	5.68924079218229e-07	0	6.55736019797415e-09	1.72065540999003e-07	9.53585585822365e-08	4.1572701913761e-08	1.70704356546529e-08	4.97519027158603e-07	1.31268548284942e-06	4.42735617331686e-07	0	0	1.62654046825404e-06	1.1572515240191e-08	0	0	1.6294473756559e-07	1.06508979047099e-06	0	6.99779465702417e-08	1.13529297361121e-08	5.67537138584347e-07	7.64957719384716e-07	2.96858154332099e-08	2.02938491587714e-06	3.50303527680666e-07	3.41714091844493e-07	0	0	3.45872698874681e-09	1.03767202934581e-08	0	2.99599918194976e-08	2.34361332409428e-08	2.19864381560948e-09	2.53009381388963e-05	7.31950732557777e-08	5.82344464356312e-08	1.40032350692922e-07	0	0	4.48052666401477e-08	2.04353071796972e-06	1.45610734926355e-07	1.82817896231585e-06	9.43550916670463e-07	0	0	3.6040258090964e-08	2.4828192299926e-06	5.57878147612926e-07	1.14282938300128e-07	1.08279652970019e-07	2.14131710473935e-08	1.0113091665032e-08	0	0	0	2.14713747312636e-06	3.97706773808907e-07	0	0	0	0	2.53698299642368e-09	2.66659541870583e-07	1.73704305618604e-08	6.80880078894758e-07	1.01527944586004e-06	6.21652611657403e-06	0	5.03608577341342e-07	7.21460359222492e-07	7.70612834134889e-08	1.70967823518607e-09	3.75652807592137e-07	0	0	1.91146794890044e-06	2.01469629776046e-06	0	0	1.06131242334136e-06	0	1.48967221196512e-09	0	0	1.63539465397319e-07	4.33023267684869e-07	0
"msp_0009"	5.21683623325372e-09	4.87060398662447e-08	8.67652038814639e-09	3.98176615653644e-07	6.65481487996162e-08	9.16706783731942e-07	3.71425875531036e-07	1.07547418731006e-07	8.36346202555634e-08	2.87850001599962e-08	4.10476829133723e-08	3.2142523993402e-09	1.97527544633799e-08	5.65302774653878e-07	6.39078398222771e-06	9.96316717393963e-07	1.88834808320115e-06	7.05273036924415e-08	5.34567647253134e-07	1.54229452575173e-08	2.41419779559015e-09	5.2760330855774e-09	8.0902987130676e-08	3.04105257017522e-08	2.6287567560152e-07	3.83419449382338e-06	8.51227970894555e-08	1.21634611059599e-07	4.21079061003643e-07	1.08679199678652e-07	9.26556012057173e-09	5.03073280147278e-07	0	2.94609104344633e-08	4.13871620333689e-07	1.63399939160207e-08	4.28756282319103e-08	2.30917104568358e-08	1.49064802426121e-08	9.30456020569758e-07	0	5.03564146681437e-07	5.74774766330187e-07	3.61740935349955e-08	2.37096974332305e-09	2.73592029593713e-08	1.36108730123759e-08	1.77524691378252e-08	1.90054698392641e-07	2.60491761222325e-08	1.39288268963521e-08	7.5155558339263e-09	2.38155715239538e-06	2.47954612262049e-07	1.85022714132523e-08	6.78249129448226e-09	2.80727364192247e-07	2.12215776349799e-08	5.760031110439e-09	2.73237882561982e-08	1.02549786273766e-07	3.43494753129416e-09	1.22754722719651e-08	8.58561730857744e-09	2.10933609572762e-08	3.29033973824968e-07	4.58115158094626e-07	0	8.54942431233578e-09	4.50180949535634e-08	5.71783976914282e-08	3.84169692596179e-08	3.16337707450077e-08	1.77856936774502e-06	4.9622971241036e-09	3.64869059968783e-07	6.77143339739923e-08	1.33287220928421e-08	6.8278246688759e-08	1.0371250439205e-06	5.68046977208472e-09	7.08914635532352e-08	6.7743058530068e-09	3.52167648113824e-08	5.116891810546e-08	2.47501236585401e-08	5.44916686672535e-08	1.58046253347192e-07	7.02083492286064e-08	4.00121854118885e-08	1.44035817091028e-08	0	1.39087109351323e-08	4.8167030375653e-07	2.53750062096791e-07	1.83435746504323e-07	3.70439347465901e-08	8.08231125394268e-07	1.21096455736337e-07	3.91735252423033e-08	2.53758057591192e-07	2.24250739903875e-08	7.79952531230026e-07	3.45222580991663e-07	4.38216856056583e-08	5.5056727174454e-09	9.20552899096692e-08	3.42145671469878e-07	4.248838769567e-07	1.38623297675266e-07	8.90180288320016e-09	0	7.04290459836524e-08	6.91490584451468e-08	2.05635871319021e-07	1.41484066315227e-07	5.80724273682922e-08	1.70320302990852e-06	5.62268268421818e-08	2.02561880624308e-06	8.51067592682805e-09	1.04294617399121e-07	8.64037453935922e-09	0	1.42278384619862e-08	8.43605321758228e-08	4.56753536823288e-08	1.16619405576698e-06
"msp_0010"	3.35873535334093e-07	4.27023974335211e-08	2.01873872377724e-07	1.07431676114551e-06	1.01169931095858e-06	1.11883881302615e-08	1.10588060661894e-07	1.37296930907431e-05	1.806773047214e-08	1.79138398652932e-06	8.35465330945886e-10	1.39812590911055e-08	1.29701588627328e-09	7.72691128107798e-06	1.44845490988926e-06	1.44674078797777e-09	0	0	1.00865896270675e-07	0	2.04067580592236e-07	2.16320754073491e-08	9.95513494276246e-06	2.77744367444804e-08	5.84602084516446e-07	1.54639837095843e-09	5.14201773959067e-06	2.6609777485009e-07	3.13109781297633e-09	1.6765398991915e-09	3.39422898893945e-06	9.06371198208691e-07	5.13456809161145e-08	7.38984443435869e-07	1.89809525561567e-09	1.73361110555487e-08	3.46901633521033e-06	1.43220723082481e-06	2.11402953410921e-08	0	3.13866973489245e-07	5.27005416831863e-06	1.40005577981809e-09	3.7370205928252e-09	2.44542884950333e-08	4.24156323187397e-09	2.25653242510427e-06	1.5101588017571e-09	7.17472622493051e-06	1.50118187451675e-08	1.68663038313033e-09	1.33334356137344e-08	7.68715389393613e-05	0	1.82988546784026e-08	0	1.05672850845268e-05	1.5941279453764e-06	1.56564142510707e-06	8.07013239699934e-07	1.43142380792903e-09	3.0910811461994e-09	2.96074184727873e-07	2.73013761846332e-09	1.88387566592682e-09	1.59864044498725e-09	1.14574087570309e-07	0	4.41865960842026e-08	3.10771471717054e-06	0	2.89239214839233e-07	0	6.23303512958394e-06	6.32663321567321e-07	1.15995682825392e-08	0	2.27062873257196e-08	1.84722559852219e-08	0	0	5.49367472712257e-07	4.48400505127901e-08	0	0	0	1.22093839246335e-07	5.02242845712516e-07	2.70192735967823e-09	1.74474557603563e-06	2.43644537234376e-09	5.32198982885829e-07	0	9.25362513913459e-09	9.31885531512595e-05	6.63796211197885e-07	5.07231428094131e-06	0	4.21445712851872e-09	2.0201223826383e-09	2.62872127842963e-07	2.34132053234417e-09	2.35173502981659e-07	3.04655485373147e-09	5.16024298309028e-08	3.82978347937479e-06	1.75008948350179e-07	4.29474222037348e-06	1.03969971630673e-06	3.41210837301928e-07	8.26438251402696e-08	2.35101382266621e-06	4.98113881766048e-09	5.38948173104061e-09	9.9178251761198e-06	8.88134458633058e-06	6.8615903527005e-07	1.7557452332495e-06	0	3.03857950459693e-08	1.05169280444751e-06	6.62598271909817e-07	5.59554086339226e-09	0	3.35695929422504e-07	0	9.03040824885854e-08	0
