# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:16:36 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
ERS1066739	ERS1066719	7.92e-01	0.82	msp_0003,msp_0008,msp_0009,msp_0012,msp_0014,msp_0017,msp_0022,msp_0032,msp_0036,msp_0046,msp_0055,msp_0058,msp_0060,msp_0068,msp_0071,msp_0075,msp_0093,msp_0103,msp_0113,msp_0148c,msp_0151,msp_0153,msp_0161,msp_0170,msp_0183,msp_0196,msp_0202,msp_0208,msp_0225,msp_0226,msp_0268,msp_0292,msp_0297,msp_0300,msp_0375,msp_0380,msp_0388,msp_0396,msp_0430,msp_0432,msp_0463,msp_0468,msp_0471,msp_0478,msp_0562,msp_0573,msp_0632,msp_0639,msp_0722,msp_0735,msp_0769,msp_0780,msp_0833,msp_0881,msp_0893,msp_0898,msp_0930,msp_1032,msp_1051,msp_1052,msp_1264c,msp_1287,msp_1315,msp_1323,msp_1339,msp_1443,msp_1453,msp_1473c,msp_1491,msp_1543,msp_1599,msp_1627,msp_1641,msp_1702,msp_1718,msp_1777,msp_1850
ERS1066719	ERS1066739	7.06e-01	0.72	msp_0011,msp_0018,msp_0021,msp_0023,msp_0024,msp_0025,msp_0027,msp_0029,msp_0040,msp_0044,msp_0045,msp_0050,msp_0053,msp_0056,msp_0059,msp_0062,msp_0066,msp_0069,msp_0072,msp_0073,msp_0076,msp_0086,msp_0090,msp_0107,msp_0109,msp_0110,msp_0112,msp_0126,msp_0128,msp_0129,msp_0131,msp_0141,msp_0145,msp_0147,msp_0150c,msp_0152,msp_0154,msp_0166,msp_0172,msp_0177,msp_0182,msp_0188,msp_0193,msp_0200,msp_0203,msp_0204,msp_0213,msp_0232,msp_0242,msp_0249,msp_0258,msp_0271,msp_0274,msp_0276,msp_0280,msp_0287,msp_0296,msp_0301,msp_0307,msp_0315,msp_0317,msp_0318,msp_0331,msp_0340,msp_0342,msp_0346,msp_0357,msp_0360,msp_0364,msp_0374,msp_0410,msp_0413,msp_0425,msp_0435,msp_0436,msp_0437c,msp_0442,msp_0467,msp_0489,msp_0506,msp_0509,msp_0510,msp_0522,msp_0545,msp_0584,msp_0588,msp_0591,msp_0634,msp_0647,msp_0655,msp_0688,msp_0693,msp_0699,msp_0737,msp_0740,msp_0742,msp_0763,msp_0772,msp_0777,msp_0794,msp_0800,msp_0814,msp_0828,msp_0851,msp_0855,msp_0861,msp_0883,msp_0908,msp_0974c,msp_0977,msp_1012,msp_1060c,msp_1078,msp_1090,msp_1091,msp_1123,msp_1156,msp_1173c,msp_1177,msp_1236,msp_1238,msp_1244,msp_1279,msp_1291,msp_1300c,msp_1312,msp_1345c,msp_1349,msp_1356,msp_1358,msp_1381,msp_1384,msp_1397c,msp_1403,msp_1418c,msp_1477,msp_1541,msp_1556,msp_1580c,msp_1581,msp_1584,msp_1590c,msp_1652,msp_1672,msp_1684,msp_1689,msp_1724,msp_1748,msp_1975,msp_2142
ERS1066646	ERS1066700	7.03e-01	0.91	msp_0003,msp_0007,msp_0009,msp_0010,msp_0011,msp_0012,msp_0014,msp_0018,msp_0024,msp_0027,msp_0029,msp_0032,msp_0041,msp_0044,msp_0046,msp_0055,msp_0056,msp_0060,msp_0066,msp_0069,msp_0071,msp_0075,msp_0077,msp_0079,msp_0081,msp_0089,msp_0090,msp_0105,msp_0110,msp_0125,msp_0129,msp_0131,msp_0132,msp_0144,msp_0148c,msp_0164,msp_0172,msp_0186,msp_0201,msp_0205,msp_0212,msp_0213,msp_0219,msp_0225,msp_0233,msp_0249,msp_0258,msp_0286,msp_0300,msp_0301,msp_0313,msp_0316,msp_0317,msp_0331,msp_0340,msp_0345,msp_0346,msp_0353,msp_0356,msp_0357,msp_0360,msp_0364,msp_0374,msp_0399,msp_0402,msp_0418,msp_0432,msp_0452,msp_0456,msp_0473c,msp_0474,msp_0477,msp_0478,msp_0534,msp_0561,msp_0590,msp_0591,msp_0592,msp_0632,msp_0650,msp_0690,msp_0713,msp_0740,msp_0763,msp_0780,msp_0820,msp_0861,msp_0881,msp_0884,msp_0898,msp_0903,msp_0917,msp_0930,msp_0959,msp_0977,msp_1012,msp_1062,msp_1120,msp_1171,msp_1177,msp_1191c,msp_1219,msp_1236,msp_1264c,msp_1300c,msp_1302,msp_1308,msp_1312,msp_1323,msp_1329,msp_1349,msp_1362,msp_1428,msp_1476,msp_1533,msp_1556,msp_1600,msp_1603c,msp_1622,msp_1641,msp_1724,msp_1744
ERS1066724	ERS1066670	6.66e-01	0.95	msp_0003,msp_0007,msp_0011,msp_0012,msp_0018,msp_0021,msp_0024,msp_0027,msp_0030,msp_0031,msp_0032,msp_0038,msp_0040,msp_0046,msp_0056,msp_0059,msp_0062,msp_0069,msp_0072,msp_0073,msp_0077,msp_0079,msp_0089,msp_0090,msp_0095,msp_0110,msp_0121,msp_0128,msp_0129,msp_0130,msp_0145,msp_0151,msp_0157,msp_0168,msp_0169,msp_0172,msp_0186,msp_0196,msp_0198,msp_0202,msp_0203,msp_0206,msp_0213,msp_0222,msp_0225,msp_0230,msp_0233,msp_0249,msp_0258,msp_0271,msp_0287,msp_0297,msp_0303,msp_0313,msp_0314,msp_0318,msp_0331,msp_0342,msp_0346,msp_0353,msp_0354,msp_0356,msp_0357,msp_0360,msp_0364,msp_0369,msp_0383,msp_0397,msp_0410,msp_0412,msp_0430,msp_0432,msp_0442,msp_0449,msp_0455,msp_0467,msp_0473c,msp_0478,msp_0486,msp_0517,msp_0546,msp_0552,msp_0553,msp_0578,msp_0591,msp_0596,msp_0611,msp_0613,msp_0618,msp_0619,msp_0635,msp_0637,msp_0647,msp_0650,msp_0654,msp_0671,msp_0679,msp_0690,msp_0699,msp_0713,msp_0723,msp_0761,msp_0763,msp_0769,msp_0772,msp_0773,msp_0780,msp_0781,msp_0786,msp_0791,msp_0792,msp_0841,msp_0850,msp_0861,msp_0879,msp_0898,msp_0903,msp_0906,msp_0908,msp_0930,msp_0960,msp_0977,msp_1004,msp_1021,msp_1024,msp_1052,msp_1060c,msp_1062,msp_1093,msp_1128,msp_1177,msp_1188,msp_1200,msp_1236,msp_1238,msp_1302,msp_1308,msp_1315,msp_1323,msp_1342,msp_1345c,msp_1347c,msp_1349,msp_1362,msp_1387,msp_1406,msp_1483,msp_1522,msp_1541,msp_1556,msp_1579c,msp_1580c,msp_1590c,msp_1622,msp_1673,msp_1674,msp_1708,msp_1724,msp_1776c,msp_1826,msp_1836
ERS1066700	ERS1066646	5.25e-01	0.89	msp_0013,msp_0015,msp_0017,msp_0023,msp_0025,msp_0040,msp_0045,msp_0049,msp_0050,msp_0053,msp_0058,msp_0062,msp_0065,msp_0072,msp_0076,msp_0103,msp_0107,msp_0126,msp_0141,msp_0142,msp_0152,msp_0153,msp_0154,msp_0160,msp_0163,msp_0204,msp_0208,msp_0210,msp_0244,msp_0250,msp_0259,msp_0271,msp_0291,msp_0297,msp_0299,msp_0307,msp_0334,msp_0337,msp_0380,msp_0396,msp_0436,msp_0437c,msp_0464,msp_0489,msp_0506,msp_0509,msp_0530,msp_0551,msp_0563,msp_0572,msp_0573,msp_0622,msp_0655,msp_0674,msp_0722,msp_0756,msp_0769,msp_0794,msp_0851,msp_0859,msp_0883,msp_0908,msp_0945,msp_0946,msp_0986,msp_1060c,msp_1127,msp_1156,msp_1234,msp_1279,msp_1291,msp_1339,msp_1381,msp_1418c,msp_1421,msp_1558,msp_1599,msp_1608c,msp_1643c,msp_1702,msp_1720
ERS1066670	ERS1066724	3.76e-01	0.98	msp_0013,msp_0041,msp_0045,msp_0048,msp_0050,msp_0058,msp_0085,msp_0093,msp_0107,msp_0112,msp_0126,msp_0141,msp_0142,msp_0146c,msp_0152,msp_0160,msp_0163,msp_0188,msp_0194,msp_0208,msp_0223,msp_0232,msp_0236,msp_0237,msp_0238,msp_0243,msp_0262,msp_0277,msp_0291,msp_0296,msp_0299,msp_0301,msp_0302,msp_0307,msp_0315,msp_0337,msp_0374,msp_0380,msp_0396,msp_0407,msp_0436,msp_0463,msp_0468,msp_0489,msp_0496,msp_0506,msp_0530,msp_0533,msp_0542,msp_0573,msp_0581,msp_0584,msp_0594,msp_0595,msp_0602c,msp_0604,msp_0621,msp_0623,msp_0655,msp_0666,msp_0698,msp_0722,msp_0725,msp_0742,msp_0756,msp_0758,msp_0776,msp_0779,msp_0833,msp_0853c,msp_0858,msp_0893,msp_0962,msp_0974c,msp_1172,msp_1219,msp_1244,msp_1271,msp_1290,msp_1291,msp_1339,msp_1353,msp_1377,msp_1403,msp_1418c,msp_1421,msp_1453,msp_1455,msp_1491,msp_1492,msp_1519,msp_1543,msp_1558,msp_1599,msp_1603c,msp_1629,msp_1684,msp_1702
ERS1066657	ERS1066665	1.31e-02	1.0	msp_0026,msp_0028,msp_0035,msp_0040,msp_0041,msp_0049,msp_0059,msp_0062,msp_0065,msp_0105,msp_0132,msp_0143,msp_0166,msp_0198,msp_0249,msp_0280,msp_0281,msp_0306,msp_0307,msp_0318,msp_0334,msp_0364,msp_0395,msp_0412,msp_0473c,msp_0525,msp_0583,msp_0617,msp_0622,msp_0655,msp_0763,msp_0777,msp_0815,msp_0820,msp_0881,msp_0893,msp_0903,msp_0949,msp_0953,msp_1236,msp_1525,msp_1641
ERS1066724	ERS1066649	1.13e-02	0.62	msp_0003,msp_0013,msp_0031,msp_0045,msp_0124,msp_0125,msp_0196,msp_0346,msp_0763,msp_0903
ERS1066689	ERS1066665	1.11e-02	0.97	msp_0013,msp_0015,msp_0017,msp_0032,msp_0048,msp_0050,msp_0068,msp_0093,msp_0141,msp_0154,msp_0178,msp_0202,msp_0208,msp_0222,msp_0227,msp_0236,msp_0243,msp_0250,msp_0259,msp_0262,msp_0277,msp_0287,msp_0301,msp_0308,msp_0380,msp_0407,msp_0436,msp_0468,msp_0507,msp_0530,msp_0545,msp_0572,msp_0623,msp_0639,msp_0733,msp_0742,msp_0785,msp_0898,msp_0986
ERS1066728	ERS1066649	1.02e-02	0.7	msp_0011,msp_0023,msp_0029,msp_0031,msp_0040,msp_0046,msp_0068,msp_0069,msp_0072,msp_0076,msp_0081,msp_0095,msp_0152,msp_0250,msp_0285,msp_0327,msp_0452,msp_0639
