id_mgs	ERS1066673	ERS1066712	ERS1066719	ERS1066672	ERS1066739	ERS1066694	ERS1066693	ERS1066720	ERS1066674	ERS1066695	ERS1066675	ERS1066721	ERS1066722	ERS1066676	ERS1066696	ERS1066697	ERS1066723	ERS1066678	ERS1066699	ERS1066725	ERS1066677	ERS1066700	ERS1066679	ERS1066726	ERS1066680	ERS1066698	ERS1066727	ERS1066701	ERS1066724	ERS1066681	ERS1066682	ERS1066702	ERS1066703	ERS1066728	ERS1066729	ERS1066683	ERS1066704	ERS1066730	ERS1066685	ERS1066684	ERS1066706	ERS1066732	ERS1066686	ERS1066705	ERS1066707	ERS1066733	ERS1066687	ERS1066708	ERS1066731	ERS1066734	ERS1066691	ERS1066713	ERS1066740	ERS1066714	ERS1066735	ERS1066741	ERS1066742	ERS1066715	ERS1066716	ERS1066717	ERS1066743	ERS1066654	ERS1066657	ERS1066660	ERS1066663	ERS1066710	ERS1066737	ERS1066653	ERS1066656	ERS1066659	ERS1066662	ERS1066668	ERS1066665	ERS1066671	ERS1066666	ERS1066669	ERS1066692	ERS1066718	ERS1066634	ERS1066635	ERS1066636	ERS1066637	ERS1066688	ERS1066640	ERS1066638	ERS1066639	ERS1066709	ERS1066689	ERS1066736	ERS1066641	ERS1066642	ERS1066643	ERS1066645	ERS1066644	ERS1066646	ERS1066647	ERS1066648	ERS1066649	ERS1066650	ERS1066651	ERS1066652	ERS1066655	ERS1066658	ERS1066661	ERS1066664	ERS1066667	ERS1066670	ERS1066690	ERS1066711	ERS1066738
"msp_0001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86792595860404e-08	0	0	0	0	0	0	0	0	0	0	3.31727448517842e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.03874611636702e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0003"	1.94657755671359e-06	1.91206460824597e-07	5.09040948231228e-09	3.44737538431296e-09	6.15020712760804e-09	4.81010970194328e-07	4.00291523169544e-06	6.47890086825699e-09	1.47879343661107e-07	9.05467395055827e-06	3.79185076968582e-08	8.07463487903578e-06	2.90303815699503e-06	3.15913801670019e-05	4.05263004785422e-09	5.49417387086498e-06	3.09832824819405e-09	3.21893365570783e-09	3.45064530049544e-06	1.02482547517932e-06	6.72088720698445e-06	1.90095007002341e-09	2.2395042123811e-06	1.54841974795622e-05	8.64885750775455e-07	4.10995347332979e-09	3.94362368510591e-09	3.9325901962815e-09	2.44558120209938e-06	2.89969029566368e-06	8.32937167841019e-09	2.85755687255276e-09	6.93527737489563e-08	7.29780783708479e-07	6.69331206799312e-07	6.8579640900404e-08	2.81903153320661e-09	4.00363092176741e-09	4.54336076989325e-06	1.92696390434787e-06	6.66639178602588e-06	2.68109859401127e-09	0	8.70134880761738e-07	7.54917387075489e-08	4.6467724301549e-07	3.34258265196653e-06	4.77881825809241e-07	9.93309398326446e-07	1.67789516858019e-08	6.59100758138391e-06	6.46044366225858e-07	5.26671734178252e-09	1.01978913768184e-07	1.8876535955983e-05	5.60433772428837e-07	2.65042586249831e-06	2.04024918669085e-06	1.85557092255776e-07	3.09860960451162e-07	1.93717895520338e-09	1.96962819596679e-06	1.72947131332874e-09	3.46069892385706e-09	7.74209958248128e-07	1.82590153480354e-07	3.72737119798748e-06	3.54107631433758e-09	3.65548986484725e-09	4.03503294295688e-06	8.40273455107434e-06	4.32224519996412e-08	1.67403653116592e-08	2.02987056593596e-08	4.24051436562222e-07	4.95210850869316e-07	1.62519270219151e-05	5.55661322470261e-06	3.50611850725585e-06	5.91911149725427e-09	2.41525070297839e-08	5.37002182057248e-06	5.76854437193505e-09	2.47292930316895e-05	1.50364390726737e-06	5.42466866705531e-09	1.35959569299867e-05	2.78788260539606e-08	7.3900281527095e-08	5.39201004323455e-09	1.96001578149954e-09	7.97092086808094e-09	1.40740903553038e-08	2.14167541250978e-07	1.73102654093797e-09	1.27156551314002e-06	3.56508545770907e-09	3.09222074819162e-08	4.24279768538398e-09	2.84414272962018e-07	1.42755193161288e-06	2.01737088683655e-08	1.5121214813644e-07	3.08830206373965e-05	8.77475314329574e-06	8.52912993790451e-06	1.55462303927242e-06	2.23067043640102e-06	1.78208139964483e-06	4.76630853250826e-06
"msp_0004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12730243811469e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0005"	7.49270658541213e-08	2.10842208671671e-06	1.52503792212975e-09	0	3.3232932672326e-09	8.23122890005765e-07	3.98019753916373e-06	5.47001211155392e-07	1.28398730661113e-09	1.10432753008807e-06	1.03631363157646e-08	1.19003770589138e-07	2.35220148868059e-09	1.94822840874335e-07	5.39317316064736e-07	1.26562029195508e-08	1.65260320240936e-08	9.80467996264795e-08	5.1533669441761e-07	1.14953260019246e-08	2.22178814977586e-07	2.82744991931295e-08	4.62005930865937e-05	4.22027429530404e-09	1.09967303233627e-07	1.05240254951429e-06	7.78176677804614e-09	4.05430138157567e-07	1.69460794005596e-08	2.54290511679475e-09	2.82114812393561e-06	5.72743985132459e-07	2.49561007491256e-08	5.4665908030761e-09	1.814865619516e-07	3.00258937202547e-08	0	2.66002619485381e-07	5.94274073613387e-07	2.08803263874111e-08	3.30958679039206e-06	0	1.43318057625814e-08	8.81035452043142e-08	1.96253339835866e-07	2.20294773279216e-09	2.28910662364371e-08	2.29456929928605e-08	3.37479147659483e-07	1.0448447500274e-07	6.93765265087683e-07	0	2.12912308103153e-08	1.39873159194113e-05	4.40080319187914e-08	7.81011851693038e-09	0	2.63003993914244e-08	1.92303367987971e-08	0	1.1556613838598e-07	3.05578643871943e-06	6.10322513577594e-08	5.61532760167371e-09	2.93894803343642e-08	0	1.36170022513564e-08	0	1.92234150978432e-08	3.59990370586179e-09	2.08070830000835e-07	2.88934953369457e-06	5.28521959459415e-07	2.69463407019122e-06	3.11467617833029e-08	1.02851195179673e-07	1.48658797701277e-08	7.47036270461553e-06	7.65484540843375e-08	0	4.18858124718648e-08	1.29551268780032e-08	3.31019796076545e-08	3.20590363347105e-08	3.14112357801299e-09	1.24840853403082e-07	9.92968495350608e-06	1.2136469525234e-07	2.64052945186974e-08	1.40196890286116e-06	2.02477626074771e-07	1.48785937622814e-08	4.63663734598401e-08	1.68799261958598e-08	2.5430078825326e-08	1.48549537898894e-08	3.3441154720478e-07	6.76007008441334e-05	3.94069438870582e-09	2.56352829211051e-09	1.35570442316598e-07	2.12274334004662e-08	1.03539610290662e-08	3.64183118052735e-07	5.35164586400543e-09	2.1349927958148e-08	2.01131382077652e-08	4.55470772445459e-08	1.77126303965281e-07	1.84301485311512e-06
"msp_0006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.19790802691947e-09	0	0	0	1.58026474152606e-07	0	0	0	3.56069170591504e-06	0	0	0	0	0	0	7.58831033490798e-07	0	0	0	1.56546683417607e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02456839537473e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7193203538567e-07	0	4.19843247430832e-06	0
"msp_0007"	5.75306494573999e-06	2.66136457280033e-06	6.59736235300853e-08	3.06454683395802e-06	7.04523778924066e-08	1.64615187484474e-06	1.02602063568026e-06	3.44049969452514e-05	7.54243757528489e-08	8.34897424739018e-07	3.67384589258217e-08	7.17964966656129e-08	5.09264221179079e-07	8.03561844839639e-09	0	6.61552963237726e-07	3.07469513221697e-09	1.30158168318686e-07	3.38382591369061e-06	6.81539996099914e-07	8.2380050902966e-07	6.9693688399516e-06	1.38303093743261e-08	1.5664701440431e-06	4.990201669741e-08	3.95731777464058e-08	6.02471623308494e-06	4.67604250349188e-07	1.24405128002783e-06	2.37988440240864e-07	3.36639034420415e-08	8.59857243554134e-06	1.37899247152372e-06	1.12471210667612e-07	1.87789419776983e-06	1.50765359235335e-07	5.85069128912235e-08	1.89180687839282e-08	3.39933551988034e-06	7.80124560147126e-08	1.01474256816702e-07	6.04491272715386e-06	2.15901398795369e-06	1.79571573330127e-06	7.14869477142591e-07	1.22998707732003e-06	1.27891004542812e-06	2.65137367869919e-07	2.44854255539764e-07	5.43204541765756e-07	8.45570017174171e-07	5.85410438198878e-07	2.58214103750709e-05	6.29004345672399e-07	1.44058119511793e-06	2.59743996971498e-08	1.58545490420966e-06	1.76027373190704e-06	2.15368703235725e-07	1.01369244003433e-08	8.63192644227003e-09	1.29932266338679e-06	5.82322393137811e-06	1.88705518816416e-05	9.24924947376961e-08	1.33283930921293e-07	3.25439688634866e-07	2.09081066365827e-08	1.25965670445253e-05	2.22043706476415e-06	3.85254092437566e-07	2.2264910567984e-07	4.35875104652229e-05	1.80121598159271e-06	1.92881235255902e-06	1.02475033879566e-07	5.61948351069693e-09	8.544463505049e-09	4.15347854807941e-06	0	4.39013765458856e-09	2.06492821116905e-07	2.57972309095021e-06	0	7.87840564979725e-08	2.13612058278273e-09	4.16103459526417e-07	1.61219777398927e-06	8.76981453326406e-08	2.1282502427426e-06	6.35909439007857e-07	0	5.44041241328702e-06	1.31109910022505e-06	9.3864808794863e-06	1.21364910952508e-07	2.21704131955018e-06	0	6.10287666785167e-06	9.89489744557395e-08	7.32600428266209e-06	3.05648437508084e-08	2.49020224084055e-09	1.64098808646907e-08	1.72586137393688e-06	4.16790389285607e-07	1.03413264462225e-06	4.09214957568612e-06	4.26790194781665e-09	2.65033316478995e-08
"msp_0008"	4.37869957428686e-09	0	1.94933583397055e-06	0	2.42711591561252e-06	1.38687783099345e-08	1.42079917544923e-09	0	0	1.33868449596228e-07	2.55752674116766e-08	0	0	1.76884946995663e-09	0	1.13133216680542e-09	2.35472067174527e-09	7.34818564854382e-09	6.29691233933288e-07	0	5.22149503791475e-07	1.03346024632296e-09	0	0	0	0	0	0	0	2.6323910150628e-09	2.1551106248479e-09	0	8.72277735422675e-07	3.06501710900088e-08	0	0	0	0	0	8.3359386353541e-07	4.62077533914045e-09	6.8300092884352e-09	1.41183604347512e-09	3.3504968806127e-07	0	0	1.86618800931347e-09	6.349939902559e-06	0	2.07907457988242e-07	1.71418877229034e-08	0	0	0	0	1.71589595893173e-07	5.51179244852644e-06	0	5.45994382189354e-09	0	0	0	1.09931811913225e-07	0	0	1.47239604787821e-08	9.95986876909395e-08	0	0	4.24592242870299e-07	4.03528263698884e-07	5.89440578838176e-08	0	0	0	0	1.60621455175305e-08	0	0	0	0	0	1.08923980441035e-06	2.69411747996893e-07	0	0	0	0	0	1.37181712744755e-08	0	2.48146482818483e-05	0	3.56264931820659e-09	0	0	0	0	2.14842891180825e-09	0	0	0	3.15299572346643e-09	2.18663198260776e-09	0	0	0	1.58977665999729e-09	0	3.17754377685152e-06
"msp_0009"	7.22435814280737e-08	3.84283680165775e-08	1.34112146796613e-07	1.37570398535015e-08	2.02333220520179e-07	1.58865385498813e-08	1.9580436620709e-08	3.93642730341882e-07	1.10663124913686e-08	0	0	5.98115659384979e-08	3.65981252660533e-08	1.07815704909358e-08	7.12968610824645e-06	2.77693598430958e-07	3.0558168548457e-07	2.13832936174445e-07	5.76938215663474e-07	5.7343455307825e-09	3.70111977127322e-08	3.60039497036852e-08	1.13561755148447e-06	1.4475238469641e-07	8.58512236652176e-09	1.00131881060525e-07	8.37251397223059e-08	2.5086593236098e-06	4.93859416735067e-09	0	9.39284257886172e-06	1.18576540404867e-07	5.46227870395923e-09	5.95680546072785e-08	8.84116980898611e-08	7.49703744793382e-09	7.42595531493217e-08	7.1128015358167e-07	4.89526345425883e-08	4.40496727877358e-09	1.24564661503697e-08	0	3.30044428119109e-07	3.67246135642128e-09	6.98607154674594e-09	8.46393411807935e-08	9.14409205906438e-08	0	1.12460101535622e-08	0	1.49485311998011e-07	2.48276894311918e-06	3.04469293948493e-07	1.00443580322455e-08	4.13136009461989e-08	0	1.73604412803706e-08	6.47161383631318e-08	1.36524164148247e-08	6.28180770264414e-08	2.01895679507358e-07	7.77554636568395e-09	2.18514960658742e-06	1.29623108125003e-06	5.83075118114395e-08	1.08501383767274e-08	5.53516554873799e-08	8.59530298133682e-07	1.26873900872154e-07	1.80953184560458e-07	3.76628780227454e-08	5.52382192230805e-09	7.51129280266907e-07	1.26601077752742e-07	1.71041390740436e-07	1.10989656369202e-08	1.44338124135873e-08	3.13089855687413e-08	1.42592217566519e-07	4.93383147984883e-08	0	5.41019847062428e-08	1.1146037234162e-08	5.86604132689043e-07	2.05036704041242e-07	1.5015585999429e-08	6.20941769766921e-07	1.40542339139397e-07	8.96147773087283e-08	2.49774246530319e-08	7.19574913628086e-09	6.60460326354261e-07	2.01625406738522e-07	1.40547040643434e-07	4.29178685958685e-08	0	3.7509934782895e-08	0	6.39073442082396e-08	0	1.46470800209996e-07	3.49671146194839e-07	2.99610940089804e-09	1.53348349264483e-06	4.87786411068072e-08	1.3652930294921e-07	7.63498275869825e-09	1.25229726662647e-07	1.22566534181898e-07	1.40774713759595e-06
"msp_0010"	1.56988976015156e-09	0	1.4239046760542e-09	1.53962001502341e-06	1.19283606186767e-08	1.95837705806575e-07	1.74492049083736e-06	8.42845226501563e-07	1.30729286106377e-06	4.00206317988786e-07	1.31477130825661e-09	2.31583682818264e-06	1.28244510106566e-06	1.67402237930305e-06	1.57431927729439e-09	7.76609807026156e-06	5.94701027004483e-05	1.08566975894451e-07	0	3.23307971249433e-07	1.89324121379694e-06	1.48592818536588e-06	9.50473125755643e-07	6.66965081508659e-07	7.01467646572193e-08	1.40593207754438e-06	1.95756396052736e-08	4.04991794743148e-06	8.98264417778549e-09	2.58950310433996e-09	1.39342983672724e-08	3.82458017017729e-07	6.32621858605086e-08	4.7775827187884e-07	2.26232523837676e-06	2.85656437629195e-09	1.3679591233236e-09	5.52624219685574e-07	4.34644674399058e-09	2.26865199008228e-06	4.27599010102362e-06	3.66751610566972e-09	2.58947699864547e-06	3.53139860292898e-07	4.09521102157111e-07	4.02843021588277e-07	3.71019233592421e-06	1.29807395478093e-08	5.73993855618752e-08	2.22014400148107e-07	2.02768342799697e-06	3.40118290932839e-09	4.23578815768507e-06	1.46243435200192e-08	1.00393545909329e-06	1.22787751571134e-09	1.27620869163396e-06	1.03440720886842e-06	1.21253457547537e-09	2.27067010163091e-07	3.12422954385062e-05	1.4784246025231e-08	1.4653562600451e-08	6.20078598689523e-09	3.71240431814125e-07	3.46083309592131e-09	2.8715600883865e-09	5.88864644005227e-06	7.35211146006872e-06	1.54435727719434e-06	6.50966583821613e-07	5.77559593536766e-07	3.55415335998796e-06	1.48367835080713e-07	7.11529679079903e-09	2.10834924061311e-09	1.22820978323081e-06	4.27553560512755e-05	1.09487364886308e-08	1.5380802613805e-09	5.71920410965222e-09	3.25296840884472e-07	2.24274701229248e-06	4.82554868852555e-09	2.91424422208628e-09	2.08220768894558e-05	4.30552187603702e-06	1.54036104891465e-06	7.73418589569842e-07	7.07487718606428e-07	7.93331419481978e-07	3.11436874751255e-09	4.85448425226314e-06	4.42116848111567e-07	1.62553031097192e-06	3.27873989186173e-07	5.6095030033853e-06	1.91262899751322e-08	4.63121954689008e-06	8.74170180357697e-08	2.13602743858437e-06	4.37117277141157e-06	6.41789609385517e-08	1.14053562622481e-06	1.2154591980505e-08	3.44488397290545e-05	1.03556031251801e-08	6.38427194416323e-07	6.78644099218454e-08	7.91534054602538e-07
