sample_id	subject_id
ERS475194	HD-72
ERS475193	HD-71
ERS475192	HD-70
ERS475189	HD-68
ERS475177_ERS475178	HD-59
ERS475190	HD-69
ERS475191	HD-7
ERS475179_ERS475180	HD-6
ERS475137	HD-31
ERS475138	HD-32
ERS475139	HD-33
ERS475140	HD-34
ERS475142	HD-36
ERS475143_ERS475144	HD-37
ERS475145	HD-38
ERS475148	HD-4
ERS475149	HD-40
ERS475146_ERS475147	HD-39
ERS475151	HD-42
ERS475150	HD-41
ERS475152_ERS475153	HD-43
ERS475156_ERS475157	HD-45
ERS475154_ERS475155	HD-44
ERS475158	HD-46
ERS475159_ERS475160	HD-47
ERS475125	HD-22
ERS475105	HD-1
ERS475181	HD-60
ERS475164	HD-5
ERS475166	HD-51
ERS475161	HD-48
ERS475165	HD-50
ERS475162_ERS475163	HD-49
ERS475126	HD-23
ERS475182	HD-61
ERS475127	HD-24
ERS475183	HD-62
ERS475106	HD-10
ERS475141	HD-35
ERS475107	HD-11
ERS475128_ERS475129	HD-25
ERS475184	HD-63
ERS475130	HD-26
ERS475131	HD-27
ERS475108	HD-12
ERS475185	HD-64
ERS475109_ERS475110	HD-13
ERS475167	HD-52
ERS475111	HD-14
ERS475132	HD-28
ERS475186	HD-65
ERS475114_ERS475115	HD-16
ERS475168	HD-53
ERS475112_ERS475113	HD-15
ERS475116_ERS475117	HD-17
ERS475118_ERS475119	HD-18
ERS475171_ERS475172	HD-55
ERS475173	HD-56
ERS475169_ERS475170	HD-54
ERS475120_ERS475121	HD-19
ERS475174_ERS475175	HD-57
ERS475122	HD-2
ERS475133	HD-29
ERS475187	HD-66
ERS475123	HD-20
ERS475124	HD-21
ERS475134_ERS475135	HD-3
ERS475136	HD-30
ERS475188	HD-67
ERS475176	HD-58
ERS475195	HD-73
ERS475199	HD-77
ERS475201	HD-79
ERS475200	HD-78
ERS475198	HD-76
ERS475196	HD-74
ERS475197	HD-75
ERS475206	HD-83
ERS475205	HD-82
ERS475203	HD-80
ERS475207	HD-9
ERS475202	HD-8
ERS475204	HD-81
ERS475213_ERS475214	HV13
ERS475212	HV12
ERS475209	HV10
ERS475208	HV1
ERS475210_ERS475211	HV11
ERS475219	HV16
ERS475220	HV17
ERS475217_ERS475218	HV15
ERS475226_ERS475227	HV20
ERS475225	HV2
ERS475229	HV22
ERS475223_ERS475224	HV19
ERS475228	HV21
ERS475221_ERS475222	HV18
ERS475215_ERS475216	HV14
ERS475230	HV23
ERS475232	HV25
ERS475231	HV24
ERS475233	HV26
ERS475235	HV28
ERS475236	HV29
ERS475234	HV27
ERS475237	HV3
ERS475239	HV31
ERS475242	HV5
ERS475238	HV30
ERS475240_ERS475241	HV4
ERS475243	HV6
ERS475245_ERS475246	HV8
ERS475244	HV7
ERS475247	HV9
ERS475249_ERS475250	LD-10
ERS475248	LD-1
ERS475251	LD-11
ERS475252	LD-12
ERS475255	LD-14
ERS475253_ERS475254	LD-13
ERS475256	LD-15
ERS475258	LD-17
ERS475259_ERS475260	LD-18
ERS475261	LD-19
ERS475257	LD-16
ERS475262_ERS475263	LD-2
ERS475264	LD-20
ERS475267	LD-22
ERS475265_ERS475266	LD-21
ERS475268	LD-23
ERS475273	LD-26
ERS475269_ERS475270	LD-24
ERS475271_ERS475272	LD-25
ERS475274_ERS475275_ERS475276	LD-27
ERS475279	LD-29
ERS475277_ERS475278	LD-28
ERS475284_ERS475285_ERS475286	LD-31
ERS475281_ERS475282_ERS475283	LD-30
ERS475280	LD-3
ERS475289	LD-33
ERS475287_ERS475288	LD-32
ERS475290	LD-34
ERS475295	LD-37
ERS475291	LD-35
ERS475292_ERS475293_ERS475294	LD-36
ERS475297	LD-39
ERS475299_ERS475300_ERS475301	LD-40
ERS475296	LD-38
ERS475298	LD-4
ERS475302	LD-41
ERS475303	LD-42
ERS475304	LD-43
ERS475306	LD-45
ERS475305	LD-44
ERS475308_ERS475309	LD-47
ERS475312_ERS475313	LD-49
ERS475310_ERS475311	LD-48
ERS475307	LD-46
ERS475314	LD-5
ERS475315	LD-50
ERS475316	LD-51
ERS475317	LD-52
ERS475320_ERS475321	LD-55
ERS475324	LD-57
ERS475318	LD-53
ERS475322_ERS475323	LD-56
ERS475319	LD-54
ERS475325	LD-58
ERS475327_ERS475328	LD-6
ERS475326	LD-59
ERS475329	LD-60
ERS475331	LD-62
ERS475330	LD-61
ERS475332	LD-63
ERS475335_ERS475336_ERS475337	LD-65
ERS475333_ERS475334	LD-64
ERS475338	LD-66
ERS475339_ERS475340	LD-67
ERS475341	LD-68
ERS475342	LD-69
ERS475343	LD-7
ERS475344_ERS475345	LD-70
ERS475348	LD-72
ERS475346_ERS475347	LD-71
ERS475349	LD-73
ERS475350	LD-74
ERS475351	LD-75
ERS475352	LD-76
ERS475353	LD-77
ERS475354	LD-78
ERS475355	LD-79
ERS475356	LD-8
ERS475357	LD-80
ERS475358	LD-81
ERS475359	LD-82
ERS475360	LD-83
ERS475361	LD-84
ERS475362	LD-85
ERS475363	LD-86
ERS475364_ERS475365	LD-87
ERS475366	LD-88
ERS475367	LD-89
ERS475368	LD-9
ERS475369	LD-90
ERS475370	LD-91
ERS475371	LD-92
ERS475372	LD-93
ERS475373	LD-94
ERS475374	LD-95
ERS475375	LD-96
ERS475376	LD-97
ERS475377_ERS475378	LD-98
ERS475379_ERS475380	LV1
ERS475381_ERS475382	LV10
ERS475383	LV11
ERS475384	LV12
ERS475385_ERS475386	LV13
ERS475387_ERS475388	LV14
ERS475389_ERS475390	LV15
ERS475391	LV16
ERS475392	LV17
ERS475393_ERS475394	LV18
ERS475395	LV19
ERS475396_ERS475397	LV2
ERS475398	LV20
ERS475399	LV21
ERS475400	LV22
ERS475402	LV24
ERS475401	LV23
ERS475403_ERS475404_ERS475405	LV25
ERS475406_ERS475407	LV3
ERS475408_ERS475409	LV4
ERS475410_ERS475411	LV5
ERS475413_ERS475414	LV7
ERS475412	LV6
ERS475415	LV8
ERS475416	LV9
