# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:42:10 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
SRS1992820	SRS1992819	8.72e-01	1.0	msp_0148c,msp_0602c,msp_0881,msp_0884,msp_1782,msp_1784,msp_1799,msp_1787,msp_2214,msp_2218,msp_2220,msp_2223,msp_2227,msp_2240,msp_2246,msp_2254,msp_2255,msp_2274,msp_2306,msp_2312,msp_2357,msp_2448,msp_2829,msp_2911,msp_2943,msp_2944
SRS1992783	SRS1992750	8.69e-01	0.52	msp_0148c,msp_1543,msp_1782,msp_1784,msp_2220,msp_2228,msp_2232,msp_2246,msp_2333,msp_2888
SRS1992833	SRS1992826	7.85e-01	0.89	msp_0007,msp_0008,msp_0013,msp_0022,msp_0023,msp_0025,msp_0032,msp_0034,msp_0035,msp_0040,msp_0045,msp_0046,msp_0063,msp_0068,msp_0083,msp_0089,msp_0090,msp_0095,msp_0110,msp_0121,msp_0124,msp_0144,msp_0151,msp_0196,msp_0205,msp_0225,msp_0226,msp_0230,msp_0270,msp_0298,msp_0306,msp_0312,msp_0318,msp_0356,msp_0361,msp_0374,msp_0381,msp_0388,msp_0417,msp_0452,msp_0476,msp_0477,msp_0478,msp_0490,msp_0592,msp_0615,msp_0623,msp_0627,msp_0630,msp_0643,msp_0654,msp_0723,msp_0763,msp_0777,msp_0841,msp_0879,msp_0903,msp_0942,msp_0988,msp_1009,msp_1052,msp_1056,msp_1060c,msp_1302,msp_1323,msp_1531c,msp_0212
SRS1992888	SRS1992846	7.71e-01	0.81	msp_0009,msp_0347,msp_1418c,msp_1543,msp_1601,msp_1677,msp_1866,msp_0380,msp_1810,msp_2240,msp_2250,msp_2814,msp_2887,msp_2888
SRS1992853	SRS1992858	7.52e-01	0.85	msp_0148c,msp_0602c,msp_1219,msp_1782,msp_0380,msp_2216,msp_2227,msp_2943
SRS1992760	SRS1992738	7.21e-01	0.89	msp_0148c,msp_0844c,msp_0884,msp_1219,msp_1782,msp_1784,msp_0313,msp_0380,msp_1603c,msp_1787,msp_2223,msp_2228,msp_2377,msp_2396,msp_2505,msp_2829,msp_2912,msp_2932,msp_2943,msp_2944
SRS1992894	SRS1992886	7.11e-01	0.51	msp_0005,msp_0041,msp_0069,msp_0090,msp_0347,msp_0742,msp_1418c,msp_1543,msp_2240,msp_2250,msp_2887
SRS1992781	SRS1992782	7.08e-01	1.0	msp_0148c,msp_0446c,msp_0602c,msp_0844c,msp_0881,msp_0884,msp_1219,msp_1782,msp_1784,msp_1603c,msp_1787,msp_2216,msp_2218,msp_2220,msp_2227,msp_2228,msp_2232,msp_2240,msp_2246,msp_2254,msp_2261,msp_2267,msp_2268,msp_2312,msp_2333,msp_2353,msp_2357,msp_2377,msp_2378,msp_2384,msp_2829,msp_2909,msp_2922,msp_2943,msp_2944
SRS1992799	SRS1992816	6.83e-01	0.63	msp_0148c,msp_0602c,msp_0742,msp_0881,msp_1196,msp_1782,msp_0380,msp_1783,msp_2216,msp_2240,msp_2254,msp_2886,msp_2943
SRS1992853	SRS1992859	6.60e-01	0.97	msp_0148c,msp_0446c,msp_0742,msp_0844c,msp_0884,msp_1219,msp_1325,msp_1782,msp_1603c,msp_1702,msp_2220,msp_2223,msp_2228,msp_2266,msp_2277,msp_2829,msp_2914,msp_2922,msp_2943
