id_mgs	SRS1992690	SRS1992691	SRS1992694	SRS1992695	SRS1992696	SRS1992697	SRS1992698	SRS1992699	SRS1992700	SRS1992701	SRS1992702	SRS1992703	SRS1992704	SRS1992705	SRS1992706	SRS1992707	SRS1992709	SRS1992711	SRS1992712	SRS1992713	SRS1992714	SRS1992715	SRS1992716	SRS1992717	SRS1992718	SRS1992720	SRS1992722	SRS1992724	SRS1992725	SRS1992726	SRS1992727	SRS1992728	SRS1992729	SRS1992730	SRS1992731	SRS1992732	SRS1992733	SRS1992736	SRS1992737	SRS1992738	SRS1992739	SRS1992740	SRS1992742	SRS1992744	SRS1992745	SRS1992748	SRS1992749	SRS1992750	SRS1992751	SRS1992752	SRS1992753	SRS1992754	SRS1992755	SRS1992756	SRS1992759	SRS1992760	SRS1992761	SRS1992762	SRS1992763	SRS1992765	SRS1992766	SRS1992767	SRS1992768	SRS1992769	SRS1992770	SRS1992771	SRS1992772	SRS1992773	SRS1992774	SRS1992775	SRS1992776	SRS1992777	SRS1992779	SRS1992781	SRS1992782	SRS1992783	SRS1992784	SRS1992785	SRS1992786	SRS1992787	SRS1992788	SRS1992791	SRS1992792	SRS1992793	SRS1992795	SRS1992796	SRS1992797	SRS1992798	SRS1992799	SRS1992800	SRS1992801	SRS1992803	SRS1992804	SRS1992805	SRS1992806	SRS1992807	SRS1992808	SRS1992809	SRS1992810	SRS1992811	SRS1992812	SRS1992814	SRS1992815	SRS1992816	SRS1992817	SRS1992818	SRS1992819	SRS1992820	SRS1992821	SRS1992822	SRS1992823	SRS1992824	SRS1992825	SRS1992826	SRS1992828	SRS1992829	SRS1992830	SRS1992831	SRS1992832	SRS1992833	SRS1992834	SRS1992835	SRS1992836	SRS1992837	SRS1992838	SRS1992839	SRS1992840	SRS1992843	SRS1992844	SRS1992845	SRS1992846	SRS1992847	SRS1992848	SRS1992849	SRS1992850	SRS1992851	SRS1992853	SRS1992854	SRS1992855	SRS1992856	SRS1992857	SRS1992858	SRS1992859	SRS1992860	SRS1992861	SRS1992862	SRS1992863	SRS1992864	SRS1992865	SRS1992868	SRS1992869	SRS1992870	SRS1992871	SRS1992872	SRS1992873	SRS1992874	SRS1992875	SRS1992877	SRS1992878	SRS1992879	SRS1992880	SRS1992881	SRS1992882	SRS1992883	SRS1992884	SRS1992885	SRS1992886	SRS1992887	SRS1992888	SRS1992890	SRS1992892	SRS1992893	SRS1992894	SRS1992895	SRS1992896	SRS1992897	SRS1992898	SRS1992899	SRS1992900	SRS1992901	SRS1992902	SRS1992903
"msp_0003"	0	0	0	0	0	0	0	4.76648307869417e-8	0	0	0	0	0	0	0	5.94378395188811e-7	0	5.38780321376923e-7	0	0	0	0	0	0	0	0	2.25318281489024e-6	0	0	0	0	0	0	0	0	0	4.08762953344963e-7	0	0	0	0	6.16359372077534e-9	4.40693581346639e-8	0	0	0	0	0	0	0	0	0	0	0	9.43452015723417e-7	0	0	0	0	3.13977458357092e-7	0	0	0	0	0	0	0	0	0	1.45830788636021e-7	0	0	2.86624740730396e-7	0	0	0	1.06496235644227e-8	0	4.17677662589009e-7	1.98104122777375e-6	2.44209289457272e-7	0	0	0	4.86423327972433e-7	0	0	0	0	0	0	0	9.108424267301062e-9	0	3.43398482608702e-8	0	0	0	6.689115082152791e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09635796620303e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0005"	6.4164037405919e-7	2.78053012827218e-7	5.2487282892468404e-9	9.56159551697986e-9	9.50669178299867e-5	2.08071964553859e-8	4.10327762843936e-8	1.86625326281844e-7	5.21171941219945e-5	1.69140930164e-4	8.95499721800602e-7	1.9292447619091e-4	1.5565735297079e-4	0	0	3.96622377070858e-6	2.6282181252731e-6	2.49633930551429e-6	2.61903280419353e-7	5.47676166592102e-5	1.6141684844116e-4	1.021168988933e-4	7.73105666155053e-8	2.13408589192592e-8	1.7800647158924e-4	0	3.03328095860049e-6	0	0	0	0	9.75912007203837e-5	1.99072898076159e-5	0	2.24105611713661e-5	0	1.64981973712864e-6	0	0	0	5.69377210678326e-5	1.8899809084248e-4	1.31463972005947e-6	0	6.51257366153467e-6	0	1.9496228391888e-8	0	0	6.96704236031488e-8	1.13611552741076e-6	0	7.18887326630499e-5	1.1143198813843e-4	0	0	1.24762752066501e-7	2.62483320489063e-6	7.90913186029472e-6	2.843753579399e-5	1.4267506729668e-4	0	4.68758368846649e-7	0	0	3.2077349960595804e-9	9.31574796013757e-6	9.10774169259917e-6	1.1123682773417e-4	3.53232849629612e-6	1.4390242812596e-4	0	2.22199412755533e-6	0	6.99197067657913e-7	5.7840264790295e-8	3.7560468316522e-8	1.15879395073622e-5	1.94563358705319e-8	1.7099502820644801e-9	2.17041656504719e-6	0	2.5816300898468e-8	1.1462425602089e-4	3.16580128389039e-7	0	0	2.71092369683903e-8	3.4139206632909e-7	4.34366761946283e-5	9.0604873618854e-5	0	9.09586977813719e-5	0	1.69071949223787e-6	2.7130018309924e-6	4.72226119628281e-5	3.75124182199649e-5	1.9918356362526e-4	9.20618534139722e-8	0	0	1.67931044221556e-5	1.5212646575746e-4	4.2607932045552e-7	1.09491511536819e-7	6.57208603439011e-6	0	7.68674412312881e-7	0	1.16590161803589e-5	2.13529927106449e-8	7.73400454868871e-8	1.1824246581396e-7	0	8.68118456647349e-9	1.76163227507714e-7	1.47917845186965e-7	4.40984491621782e-9	3.82695850745791e-8	0	0	0	0	0	1.80408931832672e-6	1.09251245376493e-7	3.94444230997063e-8	3.06820582302935e-8	5.77891401977541e-5	8.29439715750739e-5	6.6031855441522e-7	2.61211274989694e-7	8.61943440982838e-6	1.36916756118529e-5	0	0	4.92195906010892e-5	5.83151951945634e-8	0	3.51484053620655e-7	3.11994165534747e-6	3.58761588941095e-6	3.59657478364534e-5	1.6641586112733e-4	1.546112205852e-4	0	1.6233107394908e-4	1.6883554895926e-4	0	1.6040307365551e-7	1.0966313733138e-4	4.8865593973730403e-08	1.58292625179454e-8	0	9.83268042847016e-8	2.60749135551717e-7	4.04946615014599e-8	0	6.24907879414364e-5	3.62317456493712e-5	6.29325701496826e-5	1.69733246885214e-7	1.3581378153183e-4	0	2.94883214478387e-8	1.68538808423451e-7	1.643656463942e-4	8.27167539432962e-5	4.34056533305386e-7	1.05109776206967e-7	3.45898272547003e-8	2.63932031915907e-7	1.28042107175078e-7	2.01549407502148e-7	2.63542225502434e-8	1.155278323802e-4	3.41394052305888e-7	1.5299830897133e-4	3.18311200196884e-5	1.29051556665451e-7	1.5364783891026e-4
"msp_0006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8188702791406e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2168241005502e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11472597367974e-6	0	0	0	0	0	0	0
"msp_0007"	0	0	1.52249598137516e-6	0	0	0	0	1.18432777601231e-6	0	0	0	0	0	0	0	2.31426024449774e-6	0	1.86850192129495e-6	0	0	0	7.19764938810608e-8	0	0	0	0	4.81011841600241e-8	0	0	0	0	0	0	0	0	0	5.27209594605673e-8	0	0	0	0	7.9861312767981e-9	4.92624802126552e-7	2.19451460492885e-5	8.20670139473589e-6	0	7.21926829782793e-7	0	0	1.76236526290368e-8	1.32002004743041e-7	0	0	0	2.47969481168305e-7	0	0	0	0	2.17306924518349e-7	0	0	0	0	0	0	1.75713492820444e-6	2.44221132027507e-6	0	1.53136432788223e-7	0	0	7.79436309714823e-8	0	0	0	9.644353177970472e-9	0	1.80829254936951e-6	0	0	0	0	0	1.07601645877457e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40375273130941e-7	0	0	0	0	0	1.47260290568316e-8	0	0	0	0	0	0	0	8.74184977950772e-7	0	0	0	0	8.41554416025267e-9	1.23883245456456e-6	4.87980540109066e-7	0	0	8.1831661823635e-9	0	4.45011612491266e-7	7.8343372197136e-6	8.73382618397284e-7	0	0	0	4.35440531303927e-6	0	3.19653816796551e-9	0	0	0	0	0	0	0	0	0	4.96037465612036e-5	0	0	0	0	8.92651615926423e-7	0	3.63084087498162e-5	2.29002352264746e-7	1.71140788800296e-5	2.8150085336347e-8	0	1.1912952622153e-8	0	9.41016755461431e-9	0	1.75729446728399e-7	1.50902054731265e-7	1.07468149945195e-8	0	2.10650632977206e-8	3.06335132116371e-7	0	0	0	0	5.46088269747887e-6	8.583140416051021e-9	0	0	0	1.1804036430999e-7	0	8.11381215869977e-7	0	0	0	0	0
"msp_0008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.28349714847025e-8	2.36746494590353e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.82518274207642e-6	0	2.53369522051811e-6	0	0	1.92790952704331e-7	0	0	0	0	0	0	0	0	0	0	3.86259548766516e-6	0	0	0	0	1.45175324494542e-8	4.39202756811269e-6	0	0	0	0	0	1.33618140052404e-6	0	0	0	0	0	0	0	4.6561572415637406e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5302902296072502e-9	0	7.52079971418411e-9	0	0	0	0	0	0	0	0	0	0	2.02677724514205e-8	0	0	3.71708951677427e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0009"	0	0	6.92293222178267e-8	0	0	0	0	6.66937649963117e-8	0	0	0	0	0	0	0	0	0	1.46200965196868e-8	0	0	0	0	0	0	0	0	4.71855668940107e-8	0	0	0	0	0	0	0	0	0	1.98259700531338e-8	0	0	0	0	0	5.22486617179658e-7	0	0	0	0	0	0	0	0	0	3.15775801518727e-5	1.24972367145022e-5	3.91642216123166e-8	0	0	6.22001504929833e-7	3.15218409243884e-6	0	4.19547875459664e-6	0	0	0	0	0	0	0	0	0	0	0	1.3407611998392e-8	0	0	0	0	0	0	0	4.98115788973482e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49526307606128e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.354941824371131e-9	0	0	2.9380011113002e-5	0	0	0	0	0	0	2.08725482551731e-7	0	0	0	0	0	0	0	0	0	0	0	0	3.29406181866896e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95060920832426e-8	3.00070049549393e-5	0	2.83881807023383e-8	9.601647655421871e-9	0	0	5.8038236779306305e-9	0	0	0	0	0	0	0
"msp_0010"	0	0	2.04856755957634e-8	0	0	0	0	0	0	0	0	0	0	0	0	8.27582228850509e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47966656040314e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01866464257615e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50525893016125e-7	0	0	0	0	0	6.04613708554804e-6	0	0	0	1.2871906850168e-7	0	0	0	0	0	0	0	0	0	0	6.56366622826891e-8	0	0	0	0	0	0	0	0	1.11857105872419e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43042897503349e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58163033976994e-7	0	0	0	0	0	1.17008335276286e-7	0	4.02571021269887e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0018578853306e-7	0	3.81205114091796e-6	0	0	0	0	0	0	4.76981906116829e-7	0	0	0	0	0
"msp_0011"	0	0	4.30872640125375e-7	0	0	0	0	4.90617073249268e-7	0	0	0	0	0	0	0	0	0	4.95634758447146e-8	0	0	0	0	0	0	0	0	2.66983934728489e-7	0	0	0	0	0	0	0	0	0	1.35746078256501e-8	0	0	0	0	5.8654356191639606e-9	3.92087591184491e-6	0	0	0	4.30896211110099e-7	0	0	3.96366310070186e-9	5.34117754981496e-8	0	0	0	6.4025718027121e-7	0	0	0	2.98531221449205e-7	5.62693575007109e-7	0	0	0	0	0	0	5.02162215960296e-7	6.21398413969526e-7	0	3.14402273408892e-7	3.5161451032064203e-9	0	4.58074458751598e-7	0	0	0	4.11837297266844e-6	0	8.4238230438085e-7	2.63105190813095e-5	3.31223513892185e-7	0	0	0	1.17213404715854e-6	0	0	0	4.72187777232296e-8	6.41466008416405e-6	6.75109838810943e-7	0	2.71054386940957e-6	0	9.90414148537498e-8	0	0	0	0	9.71144126695572e-8	0	0	0	0	0	7.268182244852721e-9	0	0	0	0	0	0	0	7.7248842822573e-8	0	0	0	0	0	6.75935058324822e-8	7.42844062006911e-7	0	0	2.18241037180001e-8	0	5.76872639403069e-8	1.30642541071233e-6	0	0	0	0	7.50489575491787e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7620334516593802e-9	4.91636853335276e-9	0	1.30729346619506e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	6.91189284401597e-7	0	7.28820308920265e-8	0	4.499511055696571e-9	1.53464392631124e-5	0	0	8.40938451446875e-8	0	1.50425256552598e-6	0	2.36263177940607e-6	9.78043101617388e-8	0	8.2391265738723e-6	0	5.567625793529421e-9
"msp_0012"	0	0	8.3248984196717e-7	0	0	0	0	8.32372406599167e-7	0	0	0	0	0	0	0	5.136428185323e-7	0	5.52077208435443e-6	0	0	0	1.51783360588051e-7	0	0	0	0	1.48038394438929e-6	0	0	0	0	0	0	0	5.31300798567972e-8	0	3.05973126070978e-6	0	0	0	0	9.220799219191041e-9	3.51181929188739e-7	5.62936933040834e-5	0	0	2.0281377682401e-6	0	0	1.0439536335447e-4	5.38524035730943e-7	0	0	0	8.68224712140262e-7	0	0	3.64994007557218e-7	3.77391541349862e-7	1.30087194246085e-6	0	0	0	0	0	0	4.05665630998271e-7	6.31399441233393e-7	0	4.53282735548119e-7	0	0	4.25351995818307e-7	0	0	0	8.58046929644289e-6	0	1.97489775316685e-6	2.49170206986174e-6	3.3002620204416e-7	0	0	0	6.47909529502488e-6	0	0	2.52861081808709e-8	1.01564352888849e-7	1.32102628958066e-6	1.23448488316763e-6	0	1.16890381733472e-6	0	6.30261720587024e-6	0	0	0	5.98059028799369e-9	1.29866113535192e-6	0	0	7.0594446484964e-5	1.23156656484112e-5	0	1.45724783736444e-8	0	0	2.24994123497655e-7	0	4.00089953172359e-6	1.30009309815979e-8	0	1.91714076815456e-6	0	0	0	0	1.30019195674089e-8	1.8112319688725e-6	1.46778896022951e-6	0	0	7.28475475385601e-7	0	1.56718162399085e-6	2.1191907539513e-5	5.67140005785789e-7	0	0	2.7294759231496804e-9	1.76523638555441e-6	0	3.44085990381941e-9	0	0	0	0	0	0	0	0	4.68051242419431e-7	1.63527745257589e-8	0	0	0	4.12399369911599e-9	6.02388550846467e-8	0	2.40480722983587e-6	1.22769761512597e-8	2.4306285018933803e-9	4.3605979983942904e-9	0	8.26656204915445e-9	0	0	0	1.03818999839478e-5	4.59961158956522e-5	2.60456648951403e-5	0	1.72087216434152e-6	4.20391195769021e-6	0	2.57659200893145e-7	1.69952309000903e-8	1.52869005658278e-8	1.53124461978851e-6	8.68253325548295e-5	1.6154896983462e-4	2.41197847006453e-7	1.5748759076261e-4	9.3777351480408e-7	0	2.73374178530673e-7	2.5834344546502e-7	8.8073667985595e-9	1.61200830581318e-5	0	5.35450133482482e-8
"msp_0013"	0	0	4.46912156617214e-6	0	0	9.624618392754291e-9	0	2.32384798876254e-6	0	0	0	0	0	0	0	3.88997772132664e-8	0	3.96134576024112e-7	0	0	0	4.71873586135638e-7	0	0	0	0	7.4036728804894e-7	0	0	0	0	0	0	0	9.26109728552191e-8	0	0	0	0	0	6.917519668767161e-9	8.20078681400454e-8	8.57881542126714e-7	0	0	0	2.29035984704904e-7	0	0	6.783834023776951e-9	2.94531092743004e-7	0	0	0	3.4576759556938e-8	0	9.03351546899184e-8	0	0	7.49841017825642e-8	0	0	4.61449652081387e-9	0	0	0	4.88510413049947e-6	3.95996385278087e-6	0	4.51936147010417e-8	0	0	1.83602227176536e-8	0	0	0	0	0	1.79350935442095e-7	0	3.90433408516863e-8	0	0	0	6.19732597326785e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26172839882231e-6	0	0	0	0	0	3.1250473043423e-8	0	0	5.97880299615504e-7	0	1.91218603983794e-7	0	0	1.39542896862944e-6	0	0	6.4661527012374304e-9	0	7.00615427313682e-9	2.20515632387327e-6	4.59429232072139e-8	0	0	0	0	2.44024022610171e-7	1.58114337507981e-7	2.26318494021561e-7	0	0	0	3.93071907450282e-6	0	6.85670310457801e-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47161222917925e-9	0	0	4.1126759584546e-8	0	2.707934670532e-7	0	1.25040281929695e-7	0	0	0	0	0	1.35663712797256e-8	3.1951896446518e-7	0	0	0	0	0	0	0	0	0	1.66098482579294e-8	0	0	0	0	0	0	0
