sample_id	plate	well
39D19	P2	A01
39D239	P2	A02
40D24	P2	A03
41D16	P2	A04
41D93	P2	A05
47D362	P2	A06
59D8	P2	A08
59D43	P2	A09
37D8_dup	P2	A10
41D96	P2	A11
39D34	P2	B01
39D362	P2	B02
40D71	P2	B03
41D24	P2	B04
41D124	P2	B05
57M	P2	B06
57D39	P2	B07
59D9	P2	B08
59D52	P2	B09
37D16	P2	B10
57D45	P2	B11
39D38	P2	C01
40D100	P2	C03
41D30	P2	C04
41D366	P2	C05
57D8	P2	C06
57D48	P2	C07
59D11	P2	C08
59D256	P2	C09
37D39	P2	C10
57D51	P2	C11
39D45	P2	D01
40D8	P2	D02
40D124	P2	D03
47M	P2	D05
57D61	P2	D07
59D382	P2	D09
39D44	P2	D10
59D38	P2	D11
39D55	P2	E01
40D10	P2	E02
40D225	P2	E03
41D50	P2	E04
47D33	P2	E05
57D14	P2	E06
57D72	P2	E07
19D9	P2	E09
39D64	P2	E10
59D44	P2	E11
39D55_dup	P2	F01
40D17	P2	F02
40D365	P2	F03
41D71	P2	F04
47D64	P2	F05
57D17	P2	F06
57D122	P2	F07
59D23	P2	F08
19D36	P2	F09
40D60	P2	F10
39D61	P2	G01
40D38	P2	G02
41D12	P2	G03
41D73	P2	G04
47D93	P2	G05
57D19	P2	G06
57D244	P2	G07
59D37	P2	G08
19D84	P2	G09
40D66	P2	G10
39D121	P2	H01
41D13	P2	H03
41D87	P2	H04
47D121	P2	H05
57D20	P2	H06
59D37_dup	P2	H08
23D67	P2	H09
40D97	P2	H10
NC2	P2	H11
